fold,epoch,loss,val_loss,train_rmse,val_rmse,train_mae,val_mae,learning_rate
final_select,1,0.21367038786411285,0.09345073997974396,111.3886489868164,130.78656005859375,82.00572967529297,88.93195343017578,0.0005000000237487257
final_select,2,0.09861437976360321,0.05822038650512695,102.6676254272461,107.7414779663086,71.95406341552734,73.71932220458984,0.0005000000237487257
final_select,3,0.07861421257257462,0.04316536709666252,99.12733459472656,97.28495788574219,69.03411102294922,66.6646957397461,0.0005000000237487257
final_select,4,0.06858955323696136,0.04096907749772072,88.32868194580078,90.89694213867188,60.94038391113281,61.70368194580078,0.0005000000237487257
final_select,5,0.06461410224437714,0.03755614906549454,79.36103820800781,87.98162078857422,53.77190017700195,59.54046630859375,0.0005000000237487257
final_select,6,0.05884440988302231,0.035435035824775696,76.32046508789062,85.7554702758789,51.3634033203125,57.366554260253906,0.0005000000237487257
final_select,7,0.05498036369681358,0.03346824645996094,76.24829864501953,82.33795928955078,51.138126373291016,55.02381134033203,0.0005000000237487257
final_select,8,0.05189492180943489,0.03152928501367569,72.20002746582031,79.01129913330078,48.1873779296875,51.4234733581543,0.0005000000237487257
final_select,9,0.04958979785442352,0.030919868499040604,69.39009094238281,83.24833679199219,46.901145935058594,55.010040283203125,0.0005000000237487257
final_select,10,0.04820019379258156,0.028838496655225754,72.19312286376953,75.64617156982422,48.437713623046875,49.888668060302734,0.0005000000237487257
final_select,11,0.046062350273132324,0.026451092213392258,73.44635009765625,75.07941436767578,49.461856842041016,48.8619384765625,0.0005000000237487257
final_select,12,0.04521889239549637,0.02702794410288334,71.25528717041016,76.92871856689453,47.6030387878418,50.60410690307617,0.0005000000237487257
final_select,13,0.04368862137198448,0.025497524067759514,72.2940673828125,70.69573211669922,48.1011848449707,46.5401611328125,0.0005000000237487257
final_select,14,0.04288347810506821,0.027263686060905457,72.91020965576172,70.2182846069336,48.60148620605469,46.76190948486328,0.0005000000237487257
final_select,15,0.04340679198503494,0.027295241132378578,70.99594116210938,74.87186431884766,47.34037780761719,48.97441864013672,0.0005000000237487257
final_select,16,0.04075870290398598,0.024508917704224586,69.81319427490234,71.36216735839844,46.122928619384766,46.116172790527344,0.0005000000237487257
final_select,17,0.03968414291739464,0.024125834926962852,71.40560913085938,72.33856201171875,46.714717864990234,47.20142364501953,0.0005000000237487257
final_select,18,0.03974137827754021,0.02382352016866207,66.84310150146484,69.24903106689453,43.63581085205078,44.72834777832031,0.0002500000118743628
final_select,19,0.03827163204550743,0.023754464462399483,67.60450744628906,71.32359313964844,44.33009338378906,45.609291076660156,0.0002500000118743628
final_select,20,0.03720416873693466,0.025549786165356636,68.35942840576172,68.54743194580078,44.987266540527344,44.34181213378906,0.0002500000118743628
final_select,21,0.03640405461192131,0.02656394988298416,69.83966827392578,72.39388275146484,45.69682312011719,46.608428955078125,0.0002500000118743628
final_select,22,0.03656843677163124,0.02513585239648819,68.04251861572266,68.33429718017578,44.56110763549805,44.44523239135742,0.0002500000118743628
final_select,23,0.03646072372794151,0.024247877299785614,67.75959014892578,68.73112487792969,44.545204162597656,44.43302917480469,0.0002500000118743628
final_select,24,0.036293741315603256,0.024676917120814323,65.78671264648438,68.88152313232422,43.46506118774414,44.42909240722656,0.0002500000118743628
final_select,25,0.035234928131103516,0.027317877858877182,65.13481903076172,71.72283172607422,43.303123474121094,46.23723602294922,0.0002500000118743628
final_select,26,0.03656347841024399,0.02533855102956295,59.1782112121582,68.22171020507812,38.70484161376953,44.22541046142578,0.0001250000059371814
final_select,27,0.03544066101312637,0.02515292353928089,61.6115837097168,65.9223861694336,40.3427848815918,42.67119216918945,0.0001250000059371814
final_select,28,0.03505829721689224,0.025229990482330322,59.50777053833008,66.03083801269531,39.004817962646484,43.046627044677734,0.0001250000059371814
final_select,29,0.03455350548028946,0.024595890194177628,58.001129150390625,66.18106842041016,38.381561279296875,42.97703170776367,0.0001250000059371814
final_select,30,0.0342794768512249,0.024567821994423866,59.23941421508789,64.35433959960938,38.75889205932617,41.964080810546875,0.0001250000059371814
final_select,31,0.03396807238459587,0.025715254247188568,58.184383392333984,65.91083526611328,38.27693176269531,42.96780014038086,0.0001250000059371814
final_select,32,0.03405491262674332,0.023590749129652977,58.101524353027344,62.93910217285156,38.18159866333008,40.813560485839844,0.0001250000059371814
final_select,33,0.03309138864278793,0.024810055270791054,57.203224182128906,64.9281005859375,37.64794158935547,42.24355697631836,0.0001250000059371814
final_select,34,0.03286729007959366,0.023973679170012474,54.41036605834961,65.0303726196289,35.839019775390625,42.3308219909668,0.0001250000059371814
final_select,35,0.03329183906316757,0.023281250149011612,54.32094955444336,64.1563491821289,35.71784591674805,41.80144119262695,0.0001250000059371814
final_select,36,0.0338732972741127,0.02278149500489235,45.4984130859375,70.65509796142578,29.31420135498047,46.67924118041992,6.25000029685907e-05
final_select,37,0.03351612016558647,0.02267266996204853,43.49226379394531,72.48204803466797,28.021949768066406,47.78980255126953,6.25000029685907e-05
final_select,38,0.032736506313085556,0.021572841331362724,43.89800262451172,69.1952133178711,28.022342681884766,45.70622634887695,6.25000029685907e-05
final_select,39,0.03290639817714691,0.023297252133488655,38.9798469543457,76.41824340820312,24.2801456451416,51.871891021728516,3.125000148429535e-05
final_select,40,0.032830215990543365,0.023176193237304688,38.500240325927734,77.5278549194336,23.97323226928711,52.622920989990234,3.125000148429535e-05
